stop_transit_point_key,stopName,stop_latitude,stop_longitude
10184,EB 64 AV AT 148 ST,49.11902,"-122.81166"
10185,WB 64 AV AT 148 ST,49.1192,"-122.81291"
10186,WB 64 AV AT 152 ST,49.11915,"-122.80163"
10187,EB 64 AV AT 152 ST,49.11897,"-122.80029"
1019,NB ARBUTUS ST AT W 12 AV,49.26141,"-123.15291"
10190,EB 64 AV AT 202 ST,49.11884,"-122.6628"
10191,EB NORDEL WAY AT SCOTT RD,49.16187,"-122.88946"
10192,FLAGSTOP WB EYREMOUNT AT 900 BLOCK,49.35215,"-123.13369"
10193,EB 88 AV AT 128 ST,49.16247,"-122.86745"
10194,EB 56 AV AT HWY 10,49.1044,"-122.6875"
10195,FLAGSTOP NB EAGLE CLIFF RD,49.39989,"-123.32049"
10196,FLAGSTOP NB ON FOLKESTONE WAY,49.34909,"-123.1774"
10197,EB 88 AV AT 133A ST,49.16259,"-122.85223"
10198,WB 88 AV AT 133A ST,49.16275,"-122.85339"
102,SB VICTORIA DR AT E 64 AV,49.21119,"-123.06618"
1020,NB ARBUTUS ST AT W 15 AV,49.25854,"-123.15297"
10200,WB 88 AV AT KING GEORGE BLVD,49.16283,"-122.8469"
10201,EB FRASER HWY AT 68 AV,49.12535,"-122.70575"
10202,KING EDWARD STATION NORTHBOUND,49.24917,"-123.11522"
10203,WB 88 AV AT LAUDER DR,49.16284,"-122.84202"
10204,WB FRASER HWY AT 68 AV,49.12604,"-122.7066"
10205,EB 88 AV AT BEAR CREEK PARK ACCESS,49.16265,"-122.84057"
10206,WB 88 AV AT 140 ST,49.16286,"-122.83518"
10207,WB FRASER HWY AT 19000 BLOCK,49.12157,"-122.69673"
10208,EB 88 AV AT KING GEORGE BLVD,49.16266,"-122.84456"
10209,WB 64 AV AT 124 ST,49.11932,"-122.87962"
1021,NB ARBUTUS ST AT W BROADWAY,49.26363,"-123.15284"
10210,EB 88 AV AT 156 ST,49.16272,"-122.78948"
10211,EB 84 AV AT 158 ST,49.15538,"-122.7839"
10212,WB 66 AV AT 20400 BLOCK,49.12262,"-122.65539"
10213,EB 88 AV AT 164 ST,49.16276,"-122.76702"
10214,WB 88 AV AT 164 ST,49.16289,"-122.7683"
10215,EB FRASER HWY AT 19000 BLOCK,49.1208,"-122.69565"
10216,FLAGSTOP SB ON WESTHILL DR,49.34475,"-123.16761"
10217,WB 88 AV AT 158 ST,49.16284,"-122.78583"
10218,EB E 33 AV AT MAIN ST,49.24043,"-123.10185"
1022,SB RENFREW ST AT E HASTINGS ST,49.28077,"-123.04421"
10220,FLAGSTOP SB ON 21 ST,49.33434,"-123.1681"
10223,WB 96 AV AT 201 ST,49.17708,"-122.66546"
10224,NB KINGSWAY AV AT PORT COQUITLAM ST,49.26159,"-122.77433"
10225,SB RAVINE DR AT WILDWOOD DR E,49.29407,"-122.82875"
10226,FLAGSTOP WB 47 AV AT 5100 BLOCK,49.08824,"-123.08345"
10228,EB N RAILWAY AV AT MISSION STN,49.13383,"-122.30507"
1023,SB RENFREW ST AT E GEORGIA ST,49.27796,"-123.04422"
10231,SB NANAIMO ST AT E 24 AV,49.24855,"-123.05634"
10232,EB DAVIE ST AT PACIFIC BLVD,49.27431,"-123.12199"
10233,WB NORDEL WAY AT SCOTT RD,49.16209,"-122.89136"
10234,PHIBBS EXCHANGE BAY 6,49.30586,"-123.029"
10237,WB W 49 AV AT CAMBIE ST,49.22617,"-123.11603"
10238,FLAGSTOP NB ON 21 ST,49.34016,"-123.16795"
1024,EB DAVIE ST AT HOWE ST,49.27755,"-123.12697"
10240,EB 84 AV AT 108 ST,49.15598,"-122.92279"
10242,EB 24 AV AT 156 ST,49.04548,"-122.78965"
10243,WB 88 AV AT 132 ST,49.16271,"-122.85779"
10244,SB TSAWWASSEN DR N AT 2100 BLOCK,49.0422,"-123.10081"
10245,WB 88 AV AT 128 ST,49.16269,"-122.86875"
10246,SB TSAWWASSEN DR N AT 1900 BLOCK,49.03947,"-123.09809"
10247,NB TSAWWASSEN DR N AT 1900 BLOCK,49.03955,"-123.09792"
10248,SB TSAWWASSEN DR N AT FALCON WAY,49.04414,"-123.10398"
10249,NB TSAWWASSEN DR N AT 1700 BLOCK,49.03441,"-123.09721"
1025,SB CAMBIE ST AT W 59 AV,49.21648,"-123.1171"
10250,SB TSAWWASSEN DR N AT EAGLE DR,49.03189,"-123.09756"
10251,NB TSAWWASSEN DR N AT 2100 BLOCK,49.0422,"-123.10058"
10254,SB 52 ST AT 16 AV,49.03167,"-123.07984"
10256,NB 52 ST AT 16 AV,49.03253,"-123.0796"
10259,WB MURRAY ST AT ELECTRONIC AV,49.2789,"-122.84184"
1026,NB CAMBIE ST AT W 20 AV,49.25324,"-123.1151"
10261,WB HIGHLAND CRT AT UNIVERSITY CRES,49.27914,"-122.91124"
10263,EB MILLER RD AT 5200 BLOCK,49.19212,"-123.16648"
10264,FLAGSTOP SB 21 ST AT OTTAWA AV,49.33982,"-123.16806"
10265,NB LILLOOET RD AT PURCELL WAY,49.31779,"-123.02389"
10269,FLAGSTOP SB WINDJAMMER RD,49.36962,"-123.42306"
1027,NB CAMBIE ST AT W 12 AV,49.26075,"-123.11483"
10270,WB 64 AV AT 126 ST,49.11926,"-122.87392"
10271,WB KINGSWAY AT MARLBOROUGH AV,49.22615,"-122.99213"
10272,EB MACHRINA WAY AT 11800 BLOCK,49.12486,"-123.0957"
10277,SB HOWE ST AT DUNSMUIR ST BAY 3,49.28457,"-123.11706"
10278,SB 152 AT 62 AV,49.11408,"-122.80118"
10279,EB 102 AV AT 242B ST,49.18738,"-122.55034"
1028,WB ADANAC ST AT SKEENA ST,49.27749,"-123.02878"
10282,FLAGSTOP NB AT ANMORE GROCERY,49.32242,"-122.85561"
10284,EB 88 AV AT 132 ST,49.16255,"-122.85613"
10289,SB TSAWWASSEN DR N AT 1700 BLOCK,49.03453,"-123.09735"
1029,WB MCGILL ST AT N PENTICTON ST,49.28881,"-123.05245"
10290,NB ROSS DR AT 200 BLOCK,49.21421,"-122.89982"
10291,NB MAIN ST AT E 22 AV,49.25145,"-123.10082"
10293,SB ROSS DR AT 200 BLOCK,49.21395,"-122.89965"
10294,NB CAMBIE ST AT W 29 AV,49.24553,"-123.11525"
10296,SB MAIN ST AT E 39 AV,49.23513,"-123.10169"
10299,NB CAMBIE ST AT W 27 AV,49.24729,"-123.11517"
1030,SB RENFREW ST AT VENABLES ST,49.27614,"-123.04424"
10300,NB 240 ST AT 109 AV-,49.20043,"-122.55656"
10301,EB W 2 AV AT ASH ST,49.2659,"-123.11609"
10303,NB MAIN ST AT E 54 AV,49.22133,"-123.10164"
10304,NB MAIN ST AT E 46 AV,49.22871,"-123.10138"
10306,NB MAIN ST AT E 62 AV,49.21462,"-123.1019"
10307,SB 199A ST AT 96 AV,49.17646,"-122.66947"
10308,SB IOCO RD AT SUTER BROOK WAY,49.27895,"-122.82727"
